item_id,Name,Diet,Course,Ingredients,Flavour,Cusine,Price
1,Rice idli,Vegetarian,main course,"ground rice or rice flour mixed with ground urad dal, salt, methi","bland, slightly sour",South indian ,80
2,Sambar vada,Vegetarian,Starter,"sambar, medhu vada ","spicy, slightly sour",South indian ,85
3,Rasam,Vegetarian,main course,"Tomato, curry leaves, garlic, mustard seeds","Tangy, sweet and spicy",South indian ,89
4,Dosa (Butter),Vegetarian,main course,"rice batter, butter, oil","Slightly tangy,  oily ",South indian ,125
5,Paper Dosa,Vegetarian,main course,"rice batter, rava, oil","Slightly tangy,  oily, crisp",South indian ,140
6,Mysore masala Dosa,Vegetarian,main course,"rice batter, chilli-garlic paste, potatoes","spicy, crisp, ",South indian ,160
7,Rawa Dosa,Vegetarian,main course,"rice batter, rava, oil","slightly tangy, crisp",South indian ,140
8,Onion Rawa Dosa,Vegetarian,main course,"Sliced onions, rice batter,oil","slightly tangy, sweet, slightly sour",South indian ,150
9,Panner Dosa,Vegetarian,main course,"Grated Paneer, rice batter, oil","milky, slightly tangy, ",South indian ,155
10,Ghee Dosa,Vegetarian,main course,"rice batter, Ghee","slightly tangy, oily, crisp",South indian ,140
11,Masala Dosa,Vegetarian,main course,"Rice batter, potatoes","spicy, slightly tangy, ",South indian ,145
12,Pongal,Vegetarian,main course,"Rice, jaggery, cashews, ghee","slightly hot,  oily,  ",South indian ,80
13,Onion Uttapam,Vegetarian,main course,"rice batter, onion, tomato, butter","sweet, slightly tangy, oily",South indian ,155
14,Thayir sadam,Vegetarian,main course,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds","sour, slightly hot",South indian ,125
15,Chicken Varuval,Vegetarian,Starter,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon","hot, spicy, meaty",South indian ,75
16,Sambar ,Vegetarian,main course,"Tomato, curry leaves, garlic, mustard seeds","spicy, slightly hot, ",South indian ,30
17,Chuttney,Vegetarian,Starter,"Cocount, green chilies, tomatoes, pudina, coriander, salt","spicy, sour, bitter, hot",South indian ,13
18,Hot & Sour Soup,Vegetarian,Soups,"garlic, ginger, chilli, spring onion, carrot, cabbage, capsicum, beans, soya sauce, chilli sauce, vinegar, pepper powder, sugar, salt","hot, spicy, smooth watery",Chinese,85
19,Veg. Manchow soup,Vegetarian,Soups,"garlic, ginger, chilli,  onion, carrot, cabbage, capsicum, beans, soya sauce, chilli sauce, vinegar,cornflour, hakka noodles, salt","veggie, slighlty spicy, smooth watery ",Chinese,85
20,Sweet corn soup,Vegetarian,Soups,"Olive oil, garlic, ginger,  spring onion, carrot,sweet corn,  beans,pepper, vinegar,cornflour, salt","tomato sauce, peper",Chinese,85
21,Veg. Clear soup,Vegetarian,Soups,"Olive oil, garli, ginger, spring onion, broccoli, mushroom, carrot, veg stock, lettuce, salt, pepper, lemon juice","slightlu sour, slightly hot, veggie, smooth watery",Chinese,85
22,chicken soup,Non – vegetarian,Soups,"oil, chicken, onion, cabbage, capsicum, carrot, beans, ginger, garlic, vinegar, pepper powder","slighlty hot, meaty, smooth watery",Chinese,100
23,chicken manchow soup,Non – vegetarian,Soups,"oil, chicken, ginger, garlic, green chilli,spring onion, carrot, capsicum, soya sauce, cornflour, salt, noodles, pepper powder","slightly hot, meaty, smooth watery",Chinese,110
24,Spring rolls,Vegetarian,Starter,"maida, cornflour, salt, oil, garlic, chilli, onion, spring onion, carrot, cabbage, beans, capsicum, vinegar, soya sauce, chilli sauce, pepper powder, salt","Slighlty hot, veggie",Chinese,120
25,"veg, manchurian dry",Non - vegetarian,Starter,"carrot, cabbage, capsicum, sprig onions, pepper powder, maida, cornflour, salt, oil, ginger, garlic, tomato sauce, chili sauce, vinegar","slightly hot, slightly bitter, veggie",Chinese,140
